Atom   Number       Mass      Red  Green   Blue   Covalent        vdW
X	    0	   0.000     1.00   1.00   0.50       0.00       0.00
H           1      1.008     1.00   1.00   1.00       0.40       1.20
He          2      4.003     0.85   1.00   1.00       0.93       1.40
Li          3      6.941     0.80   0.50   1.00       1.23       1.82
Be          4      9.012     0.76   1.00   0.00       0.90       2.00
B           5     10.811     1.00   0.71   0.71       0.82       2.00
C           6     12.011     0.75   0.75   0.75       0.77       1.70
N           7     14.007     0.40   0.40   1.00       0.75       1.55
O           8     15.999     1.00   0.00   0.00       0.73       1.52
F           9     18.998     0.00   1.00   0.00       0.72       1.47
Ne         10     20.180     0.70   0.89   0.96       0.71       1.54
Na         11     22.991     0.67   0.36   0.95       1.54       2.27
Mg         12     24.305     0.54   1.00   0.00       1.36       1.73
Al         13     26.982     0.75   0.65   0.65       1.18       2.00
Si         14     28.086     0.94   0.78   0.63       1.11       2.10
P          15     30.974     1.00   0.54   0.00       1.06       1.80
S          16     32.066     1.00   1.00   0.00       1.02       1.80
Cl         17     35.453     0.00   1.00   0.00       0.99       1.75
Ar         18     39.948     0.50   0.82   0.89       0.98       1.88
K          19     39.098     0.56   0.25   0.83       2.03       2.75
Ca         20     40.078     0.24   1.00   0.00       1.74       2.00
Sc         21     44.956     0.90   0.90   0.90       1.44       2.00
Ti         22     47.867     0.75   0.76   0.78       1.32       2.00
V          23     50.942     0.65   0.65   0.67       1.22       2.00
Cr         24     51.996     0.54   0.60   0.78       1.18       2.00
Mn         25     54.938     0.61   0.48   0.78       1.17       2.00
Fe         26     55.845     0.00   0.80   0.80       1.17       2.00
Co         27     58.933     0.94   0.56   0.63       1.16       2.00
Ni         28     58.693     0.31   0.82   0.31       1.15       1.63
Cu         29     63.546     0.78   0.50   0.20       1.17       1.40
Zn         30     65.390     0.49   0.50   0.69       1.25       1.39
Ga         31     69.723     0.76   0.56   0.56       1.26       1.87
Ge         32     72.610     0.40   0.56   0.56       1.22       2.00
As         33     74.922     0.74   0.50   0.89       1.20       1.85
Se         34     78.960     1.00   0.63   0.00       1.16       1.90
Br         35     79.904     0.75   0.25   0.25       1.14       1.85
Kr         36     83.800     0.36   0.72   0.82       1.89       2.02
Rb         37     85.468     0.44   0.18   0.69       2.16       2.00
Sr         38     87.620     0.00   1.00   0.00       1.91       2.00
Y          39     88.906     0.58   1.00   1.00       1.62       2.00
Zr         40     91.224     0.58   0.88   0.88       1.45       2.00
Nb         41     92.906     0.45   0.76   0.79       1.34       2.00
Mo         42     95.940     0.33   0.71   0.71       1.30       2.00
Tc         43     98.000     0.23   0.62   0.62       1.27       2.00
Ru         44    101.070     0.14   0.56   0.56       1.25       2.00
Rh         45    102.906     0.51   0.44   1.00       1.25       2.00
Pd         46    106.420     0.00   0.80   0.80       1.28       1.63
Ag         47    107.868     0.75   0.75   0.75       1.34       1.72
Cd         48    112.411     1.00   0.85   0.56       1.48       1.58
In         49    114.818     0.65   0.46   0.45       1.44       1.93
Sn         50    118.710     0.40   0.50   0.50       1.41       2.17
Sb         51    121.760     0.62   0.39   0.71       1.40       2.00
Te         52    127.600     0.83   0.48   0.00       1.36       2.06
I          53    126.904     0.58   0.00   0.58       1.33       1.98
Xe         54    131.290     0.26   0.62   0.69       1.31       2.16
Cs         55    132.905     0.34   0.09   0.56       2.35       2.00
Ba         56    137.327     0.00   0.79   0.00       1.98       2.00
La         57    138.906     0.44   0.83   1.00       1.25       2.00
Ce         58    140.116     1.00   1.00   0.78       1.65       2.00
Pr         59    140.908     0.85   1.00   0.78       1.50       2.00
Nd         60    144.240     0.78   1.00   0.78       1.50       2.00
Pm         61    145.000     0.64   1.00   0.78       1.50       2.00
Sm         62    150.360     0.56   1.00   0.78       1.50       2.00
Eu         63    151.964     0.38   1.00   0.78       1.50       2.00
Gd         64    157.250     0.27   1.00   0.78       1.50       2.00
Tb         65    158.925     0.19   1.00   0.78       1.50       2.00
Dy         66    162.500     0.12   1.00   0.78       1.50       2.00
Ho         67    164.930     0.00   1.00   0.61       1.50       2.00
Er         68    167.260     0.00   0.90   0.46       1.50       2.00
Tm         69    168.934     0.00   0.83   0.32       1.50       2.00
Yb         70    173.040     0.00   0.75   0.22       1.50       2.00
Lu         71    174.967     0.00   0.67   0.14       1.50       2.00
Hf         72    178.490     0.30   0.76   1.00       1.44       2.00
Ta         73    180.948     0.30   0.65   1.00       1.34       2.00
W          74    183.840     0.13   0.58   0.84       1.30       2.00
Re         75    186.207     0.15   0.49   0.67       1.28       2.00
Os         76    190.230     0.15   0.40   0.59       1.26       2.00
Ir         77    192.217     0.51   0.44   0.00       1.27       2.00
Pt         78    195.078     0.82   0.82   0.88       1.30       1.72
Au         79    196.967     1.00   0.84   0.00       1.34       1.66
Hg         80    200.590     0.72   0.72   0.82       1.49       1.55
Tl         81    204.383     0.65   0.33   0.30       1.48       1.96
Pb         82    207.200     0.34   0.35   0.38       1.47       2.02
Bi         83    208.980     0.62   0.31   0.71       1.46       2.00
Po         84    210.000     0.67   0.36   0.00       1.53       2.00
At         85    210.000     0.46   0.31   0.27       1.47       2.00
Rn         86    222.000     0.26   0.51   0.59       1.50       2.00
Fr         87    223.000     0.26   0.00   0.40       2.60       2.00
Ra         88    226.000     0.00   0.49   0.00       2.21       2.00
Ac         89    227.000     0.44   0.67   0.98       2.15       2.00
Th         90    232.038     0.00   0.73   1.00       2.06       2.00
Pa         91    231.036     0.00   0.63   1.00       2.00       2.00
U          92    238.029     0.00   0.56   1.00       1.96       1.86
Np         93    237.000     0.00   0.50   1.00       1.90       2.00
Pu         94    244.000     0.00   0.42   1.00       1.87       2.00
Am         95    243.000     0.33   0.36   0.95       1.80       2.00
Cm         96    247.000     0.47   0.36   0.89       1.69       2.00
Bk         97    247.000     0.54   0.31   0.89       1.54       2.00
Cf         98    251.000     0.63   0.21   0.83       1.83       2.00
Es         99    252.000     0.70   0.12   0.83       1.50       2.00
Fm        100    257.000     0.70   0.12   0.73       1.50       2.00
Md        101    258.000     0.70   0.05   0.65       1.50       2.00
No        102    259.000     0.74   0.05   0.53       1.50       2.00
Lr        103    262.000     0.74   0.05   0.41       1.50       2.00
